Zairyo_Kosei_ID,Shiyo_ID,Sort_No,Zairyo_ID,Zairyo_Keisu,Teisyaku,Tani_ID,Konpo_Calc_Flg,Setsumei,Zairyo_Keisu_Default,Teisyaku_Default,Tani_ID_Default,Konpo_Calc_Flg_Default,Setsumei_Default,Zairyo_Tanka_Ref_Col1,Zairyo_Tanka_Ref_Col2,Zairyo_Tanka_Ref_Col3,Zairyo_Tanka_Ref_Col4,Sort_No_Default,Default_Flg,Disable_Flg,Delete_Flg,UPDATE_DATE,UPDATE_STAFF
1,1010001,1,1010003,1.4011,5000,,,,1.4011,5000,,,,,,,,1,1,0,0,,
2,1010001,2,1020001,2.1492,5000,,,,2.1492,5000,,,,,,,,2,1,0,0,,
3,1010001,3,1020002,0.948,5000,,,,0.948,5000,,,,,,,,3,1,0,0,,
4,1010001,4,1030003,2.664,,,,,2.664,,,,,,,,,4,1,0,0,,
5,1010001,5,1031003,1.239,,,,,1.239,,,,,,,,,5,1,0,0,,
6,1010001,6,1040001,0.31,,,,,0.31,,,,,,,,,6,1,0,0,,
7,1010001,7,1040002,0.124,,,,,0.124,,,,,,,,,7,1,0,0,,
8,1010001,8,1041003,0.2028,,,,,0.2028,,,,,,,,,8,1,0,0,,
9,1010001,9,1050003,1.612,,,,,1.612,,,,,,,,,9,1,0,0,,
10,1010001,10,1060002,1.612,,,,,1.612,,,,,,,,,10,1,0,0,,
11,1010001,11,1132001,3.224,,,,,3.224,,,,,,,,,11,1,0,0,,
12,1010002,1,1010003,1.4011,5000,,,,1.4011,5000,,,,,,,,1,1,0,0,,
13,1010002,2,1020001,2.8129,5000,,,,2.8129,5000,,,,,,,,2,1,0,0,,
14,1010002,3,1020002,0.948,5000,,,,0.948,5000,,,,,,,,3,1,0,0,,
15,1010002,4,1030003,3.501,,,,,3.501,,,,,,,,,4,1,0,0,,
16,1010002,5,1031003,1.239,,,,,1.239,,,,,,,,,5,1,0,0,,
17,1010002,6,1040001,0.403,,,,,0.403,,,,,,,,,6,1,0,0,,
18,1010002,7,1040002,0.124,,,,,0.124,,,,,,,,,7,1,0,0,,
19,1010002,8,1041003,0.2028,,,,,0.2028,,,,,,,,,8,1,0,0,,
20,1010002,9,1050003,1.612,,,,,1.612,,,,,,,,,9,1,0,0,,
21,1010002,10,1060002,1.612,,,,,1.612,,,,,,,,,10,1,0,0,,
22,1010002,11,1132001,3.224,,,,,3.224,,,,,,,,,11,1,0,0,,
23,1010003,1,1010003,1.4011,5000,,,,1.4011,5000,,,,,,,,1,1,0,0,,
24,1010003,2,1020001,2.1492,5000,,,,2.1492,5000,,,,,,,,2,1,0,0,,
25,1010003,3,1020002,1.612,5000,,,,1.612,5000,,,,,,,,3,1,0,0,,
26,1010003,4,1030003,2.664,,,,,2.664,,,,,,,,,4,1,0,0,,
27,1010003,5,1031003,2.076,,,,,2.076,,,,,,,,,5,1,0,0,,
28,1010003,6,1040001,0.31,,,,,0.31,,,,,,,,,6,1,0,0,,
29,1010003,7,1040002,0.217,,,,,0.217,,,,,,,,,7,1,0,0,,
30,1010003,8,1041003,0.2028,,,,,0.2028,,,,,,,,,8,1,0,0,,
31,1010003,9,1050003,1.612,,,,,1.612,,,,,,,,,9,1,0,0,,
32,1010003,10,1060002,1.612,,,,,1.612,,,,,,,,,10,1,0,0,,
33,1010003,11,1132001,3.224,,,,,3.224,,,,,,,,,11,1,0,0,,
34,1010004,1,1010003,1.4011,5000,,,,1.4011,5000,,,,,,,,1,1,0,0,,
35,1010004,2,1020001,2.3704,5000,,,,2.3704,5000,,,,,,,,2,1,0,0,,
36,1010004,3,1020002,2.655,5000,,,,2.655,5000,,,,,,,,3,1,0,0,,
37,1010004,4,1030003,2.943,,,,,2.943,,,,,,,,,4,1,0,0,,
38,1010004,5,1031003,3.346,,,,,3.346,,,,,,,,,5,1,0,0,,
39,1010004,6,1040001,0.341,,,,,0.341,,,,,,,,,6,1,0,0,,
40,1010004,7,1040002,0.372,,,,,0.372,,,,,,,,,7,1,0,0,,
41,1010004,8,1041003,0.2028,,,,,0.2028,,,,,,,,,8,1,0,0,,
42,1010004,9,1050003,1.612,,,,,1.612,,,,,,,,,9,1,0,0,,
43,1010004,10,1060002,1.612,,,,,1.612,,,,,,,,,10,1,0,0,,
44,1010004,11,1132001,3.224,,,,,3.224,,,,,,,,,11,1,0,0,,
45,1010005,1,1010003,1.714,5000,,,,1.714,5000,,,,,,,,1,1,0,0,,
46,1010005,2,1020001,2.7429,5000,,,,2.7429,5000,,,,,,,,2,1,0,0,,
47,1010005,3,1020002,0.914,5000,,,,0.914,5000,,,,,,,,3,1,0,0,,
48,1010005,4,1030003,3.429,,,,,3.429,,,,,,,,,4,1,0,0,,
49,1010005,5,1031003,1.143,,,,,1.143,,,,,,,,,5,1,0,0,,
50,1010005,6,1040001,0.403,,,,,0.403,,,,,,,,,6,1,0,0,,
51,1010005,7,1040002,0.124,,,,,0.124,,,,,,,,,7,1,0,0,,
52,1010005,8,1041003,0.2028,,,,,0.2028,,,,,,,,,8,1,0,0,,
53,1010005,9,1050003,2.286,,,,,2.286,,,,,,,,,9,1,0,0,,
54,1010005,10,1060002,2.286,,,,,2.286,,,,,,,,,10,1,0,0,,
55,1010005,11,1132001,4.572,,,,,4.572,,,,,,,,,11,1,0,0,,
56,1010006,1,1010003,1.4011,5000,,,,1.4011,5000,,,,,,,,1,1,0,0,,
